image,gt,TP,FP,FN,precision,recall,F1,F2,inference_ms
gss1352_jpg.rf.f99f5ef8880b81469866cea258739ce3.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.792
gss1357_jpg.rf.3c7ff02fdd3dd0787dcf30a04f448be5.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.735
gss1368_jpg.rf.675a3a4214c47787f0c1c5e22160a542.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,16.445
gss1368_jpg.rf.a445021d50aa084f339303929cebf73c.jpg,2,2,0,0,1.0,1.0,1.0,1.0,15.842
gss1368_jpg.rf.b827e75e37801eb651ebde131d3f82a3.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.668
gss1368_jpg.rf.d77b9a61306adef96e15d43e8e38fa82.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.627
gss1369_jpg.rf.a48151f3ec45734f2722674921bae21a.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.556
gss1369_jpg.rf.d6ca2afe89c554cccaef0b8736b49c45.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.586
gss1369_jpg.rf.d9b3a746163d4013c96378f57f875a60.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,16.314
gss1371_jpg.rf.6a569f669e6c94f3ac1da4a9f2aba6f9.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.592
gss1371_jpg.rf.7af86ab28eb3319bc9258255547a1058.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.57
gss1371_jpg.rf.da15886b9eccdd5012480f2605f5a905.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.513
gss1374_jpg.rf.7b3226e62954f311f637367cbf323953.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.552
gss1374_jpg.rf.827fee56f30b4cec45238dd122e0ffcc.jpg,1,1,0,0,1.0,1.0,1.0,1.0,17.471
gss1374_jpg.rf.919b374420202e341df6244feac69153.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.634
