conf,F1,F2,precision,recall
0.85,0.4924333264420095,0.3789105625355939,0.9835652640706941,0.32843373826234434
0.86,0.46273508242396094,0.35096678758849015,0.9861454725383474,0.30229030790232064
0.87,0.4308379261624082,0.32184823034232934,0.9890561552936515,0.2754022861712836
0.88,0.39652737942902533,0.2915602765548097,0.9913950024822108,0.24782482798560457
0.89,0.35910123021655876,0.2596295207291973,0.9934991873984248,0.21915806020159123
0.9,0.3189134109909451,0.22654813099025767,0.99508635016981,0.18988458833749294
0.91,0.27501693746805655,0.19172892456795113,0.9964685615848407,0.15952180687506032
0.92,0.22372947758909875,0.15266601614714215,0.9979248580166011,0.12598761772127462
0.93,0.16687727456530532,0.11127213899327615,0.9984878270074097,0.09104697820001931
0.94,0.10379492006222465,0.06750185332544395,0.9989934574735783,0.05474125449857287
0.95,0.049958323250248717,0.03182040821918747,0.9994620763851533,0.025619458654495816
0.96,0.014075057847392419,0.00884358891419998,1.0,0.00708740675371951
0.97,0.0003308747501206314,0.00020682238093924936,1.0,0.00016546474911407414
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
