epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,4667.25,1.04855,0.63237,0.92723,0.87669,0.79305,0.83851,0.58386,0.84412,0.51084,0.89957,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,4781.34,1.05426,0.63393,0.92248,0.87708,0.79337,0.83866,0.58428,0.84257,0.50994,0.8993,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,4895.89,1.05189,0.63601,0.92484,0.87739,0.79315,0.83879,0.58464,0.84089,0.50938,0.89886,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,5008.42,1.05267,0.63536,0.92374,0.87632,0.79439,0.83921,0.58528,0.83955,0.50855,0.89849,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,5120.91,1.04472,0.63365,0.9239,0.87671,0.79464,0.83955,0.58575,0.83861,0.50789,0.89837,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,5233.33,1.04316,0.6288,0.92187,0.87752,0.79459,0.83987,0.58631,0.83752,0.5068,0.89814,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,5345.87,1.03965,0.627,0.92404,0.87775,0.79449,0.84014,0.58661,0.8365,0.50589,0.89791,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,5458.73,1.03655,0.62842,0.92419,0.87749,0.79535,0.84026,0.58712,0.83549,0.50532,0.89763,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,5571.25,1.04283,0.62911,0.92118,0.87735,0.79582,0.84063,0.58754,0.83498,0.50485,0.89757,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,5683.71,1.04081,0.62929,0.92373,0.87744,0.79607,0.84072,0.58794,0.83402,0.50449,0.89736,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,5796.45,1.03843,0.62615,0.92004,0.87816,0.79582,0.84097,0.58823,0.83313,0.50402,0.89707,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,5909,1.0377,0.62449,0.92164,0.87831,0.79622,0.84105,0.5886,0.83269,0.50364,0.89701,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,6023.26,1.03566,0.62429,0.92085,0.8791,0.79624,0.84137,0.58937,0.83126,0.50318,0.89665,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,6136.56,1.03051,0.62059,0.91937,0.87992,0.79596,0.84157,0.58972,0.8307,0.50278,0.89653,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
