conf,F1,F2,precision,recall
0.66,0.8083872442024476,0.7445366295474867,0.9432002059429244,0.7072928588172028
0.67,0.8034450791940353,0.7374090255920972,0.944398912193123,0.6991023537360561
0.68,0.7983807990820279,0.7301282854752627,0.9457250193502105,0.6907601726348882
0.69,0.7921497516709058,0.721269893220963,0.9473037804644022,0.6806668229389298
0.7,0.7858608709703483,0.7123856342228695,0.9489921361250415,0.6705872619720641
0.71,0.7796709418739884,0.703808226097273,0.950410437403339,0.6609351516070764
0.72,0.7721944421673907,0.69354662959898,0.9521499181272364,0.649449140272741
0.73,0.7639894232358287,0.6826713212774189,0.9532342206734438,0.6374391572328778
0.74,0.7550186741363213,0.6708175195024902,0.9547534209028231,0.6243950195110517
0.75,0.7448279346261041,0.6575199505250764,0.9565095155709342,0.6098616990471988
0.76,0.7341158458790509,0.6438373331662385,0.9579994228250494,0.5950526040014892
0.77,0.7232177388165528,0.6300086247170016,0.9599151304982662,0.5801607765812226
0.78,0.7106086956521739,0.6143086096419089,0.9619323398545095,0.5634074707334225
0.79,0.696933962264151,0.5977789922131876,0.9632197329052032,0.5459923058891661
0.8,0.6826355843091126,0.580708154050948,0.9649074190704119,0.528135901713939
0.81,0.6673649612627093,0.562782693449888,0.9668000941841299,0.5095486948967913
0.82,0.648795926792349,0.541393374855316,0.9692725179540596,0.487583249451898
0.83,0.6288138754196195,0.5190281057483014,0.9711956678284414,0.46491457882326986
0.84,0.6073715668137185,0.4955507254453918,0.9734809318167995,0.4413772182617928
0.85,0.5821097634109067,0.46877288093346414,0.9749862294657032,0.41491664713263376
0.86,0.5541990161796952,0.4399683821246083,0.9769458471182308,0.38681521724142687
0.87,0.5224168781148594,0.408211949824639,0.9788241533449503,0.35628697102988016
0.88,0.48560815157615117,0.3726791169097575,0.981090939583246,0.3226562607724446
0.89,0.44361600991272954,0.33364290167295446,0.9844031478145444,0.2863229596128125
0.9,0.39348135716730526,0.28913805413123905,0.9873116134751773,0.2457013637053073
0.91,0.33686161873920056,0.24132831406292019,0.9901116642001884,0.2029563035175048
0.92,0.2703340162958021,0.18816517808282784,0.9931728665207877,0.15646070901644996
0.93,0.20007689540984014,0.13524570922675538,0.99506538366642,0.11121988886284351
0.94,0.12678984131902749,0.08321469730865705,0.9963474025974026,0.067702659845842
0.95,0.06028269212767949,0.03854968359842654,0.9982285208148804,0.03107979537526026
0.96,0.01334063826873031,0.008379820978116105,1.0,0.006715111068212843
0.97,0.00022059533165129396,0.00013788348845225786,1.0,0.00011030983274271611
0.98,0.0,0.0,0.0,0.0
0.99,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
