conf,precision,recall,F1,F2,TP,FP,FN
0.79,0.9632197329052032,0.5459923058891661,0.696933962264151,0.5977789922131876,39597,1512,32926
0.8,0.9649074190704119,0.528135901713939,0.6826355843091126,0.580708154050948,38302,1393,34221
0.81,0.9668000941841299,0.5095486948967913,0.6673649612627093,0.562782693449888,36954,1269,35569
0.82,0.9692725179540596,0.487583249451898,0.648795926792349,0.541393374855316,35361,1121,37162
0.83,0.9711956678284414,0.46491457882326986,0.6288138754196195,0.5190281057483014,33717,1000,38806
0.84,0.9734809318167995,0.4413772182617928,0.6073715668137185,0.4955507254453918,32010,872,40513
0.85,0.9749862294657032,0.41491664713263376,0.5821097634109067,0.46877288093346414,30091,772,42432
0.86,0.9769458471182308,0.38681521724142687,0.5541990161796952,0.4399683821246083,28053,662,44470
0.87,0.9788241533449503,0.35628697102988016,0.5224168781148594,0.408211949824639,25839,559,46684
0.88,0.981090939583246,0.3226562607724446,0.48560815157615117,0.3726791169097575,23400,451,49123
0.89,0.9844031478145444,0.2863229596128125,0.44361600991272954,0.33364290167295446,20765,329,51758
0.9,0.9873116134751773,0.2457013637053073,0.39348135716730526,0.28913805413123905,17819,229,54704
0.91,0.9901116642001884,0.2029563035175048,0.33686161873920056,0.24132831406292019,14719,147,57804
0.92,0.9931728665207877,0.15646070901644996,0.2703340162958021,0.18816517808282784,11347,78,61176
0.93,0.99506538366642,0.11121988886284351,0.20007689540984014,0.13524570922675538,8066,40,64457
0.94,0.9963474025974026,0.067702659845842,0.12678984131902749,0.08321469730865705,4910,18,67613
0.95,0.9982285208148804,0.03107979537526026,0.06028269212767949,0.03854968359842654,2254,4,70269
0.96,1.0,0.006715111068212843,0.01334063826873031,0.008379820978116105,487,0,72036
0.97,1.0,0.00011030983274271611,0.00022059533165129396,0.00013788348845225786,8,0,72515
0.98,0.0,0.0,0.0,0.0,0,0,72523
0.99,0.0,0.0,0.0,0.0,0,0,72523
1.0,0.0,0.0,0.0,0.0,0,0,72523
