epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
168,114.257,53.642,8633.0,0.89394,0.81268,0.85831,0.62255,0.0
169,111.997,54.725,8470.8,0.89406,0.81258,0.85833,0.62246,0.0
170,112.771,54.349,8910.2,0.89438,0.81239,0.85838,0.62276,0.0
171,112.748,54.36,8732.0,0.89452,0.81268,0.85875,0.62322,0.0
172,112.83,54.321,8568.8,0.89469,0.81238,0.85874,0.62333,0.0
173,113.262,54.113,8520.4,0.89469,0.81222,0.85877,0.62345,0.0
174,113.448,54.025,8562.1,0.89473,0.81227,0.85876,0.62351,0.0
175,112.687,54.39,8472.5,0.89385,0.81287,0.85888,0.62369,0.0
176,113.08,54.201,8408.9,0.89419,0.81294,0.85893,0.62357,0.0
177,112.426,54.516,8351.6,0.8943,0.81251,0.85888,0.62348,0.0
178,111.93,54.757,8590.0,0.89415,0.81306,0.85887,0.62348,0.0
179,111.902,54.771,8519.9,0.89446,0.81278,0.85892,0.62329,0.0
180,112.69,54.388,8586.9,0.89414,0.81297,0.85892,0.62311,0.0
181,113.934,53.794,8547.5,0.89468,0.8129,0.85908,0.6231,0.0
182,111.981,54.733,8513.0,0.89386,0.81371,0.85909,0.62324,0.0
183,112.514,54.473,8576.2,0.89389,0.81369,0.85922,0.62337,0.0
184,112.032,54.707,8635.1,0.89432,0.81337,0.85919,0.62346,0.0
185,114.468,53.543,8575.1,0.89415,0.81353,0.85926,0.62362,0.0
186,112.325,54.565,8519.6,0.89435,0.81387,0.8594,0.62379,0.0
187,112.131,54.659,8630.1,0.89463,0.81376,0.85944,0.62394,0.0
188,113.098,54.192,8451.8,0.89432,0.81403,0.85952,0.62383,0.0
189,114.351,53.598,8557.5,0.89457,0.81419,0.85955,0.62384,0.0
190,112.971,54.253,8775.3,0.89467,0.81392,0.85971,0.62401,0.0
191,112.942,54.267,8685.8,0.89518,0.8143,0.8599,0.62429,0.0
192,113.26,54.114,8555.7,0.89523,0.81418,0.85997,0.62451,0.0
193,112.035,54.706,8643.7,0.89548,0.8144,0.86014,0.62501,0.0
194,112.103,54.673,8717.0,0.8956,0.81441,0.86019,0.62541,0.0
