ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1780189084.9769027,88,71,9644.16015625,178.893,69
1780189086.9853525,64,44,9644.16015625,178.653,64
1780189088.9970436,92,72,9644.16015625,192.56,66
1780189091.00992,73,53,9644.16015625,187.174,68
1780189093.0269,49,26,9644.16015625,183.329,67
1780189095.0309894,60,41,9644.16015625,183.085,64
1780189097.050175,55,39,9644.16015625,175.238,66
1780189099.052006,83,69,9684.16015625,178.523,69
1780189101.066591,87,72,5028.16015625,169.273,63
1780189103.0806198,95,83,5028.16015625,188.017,64
1780189105.0924144,65,52,5028.16015625,201.795,69
1780189107.1016593,75,62,5028.16015625,194.811,68
1780189109.1083038,63,53,5924.16015625,189.743,68
1780189111.122329,88,71,9176.16015625,135.609,67
1780189113.1372993,92,71,9176.16015625,172.701,65
1780189115.144137,73,53,9176.16015625,177.66,68
1780189117.153469,87,73,9176.16015625,186.586,67
1780189119.1641629,60,37,9176.16015625,184.194,64
1780189121.17711,78,57,9176.16015625,182.607,68
1780189123.1875412,92,73,9176.16015625,190.588,67
1780189125.1919656,89,67,9176.16015625,192.194,65
1780189127.204475,88,69,9176.16015625,192.187,66
1780189129.2139251,84,70,9176.16015625,189.731,67
1780189131.2273407,77,60,9176.16015625,188.284,66
1780189133.23595,46,20,9766.16015625,184.112,65
1780189135.2489004,46,19,9766.16015625,180.947,65
1780189137.26257,54,30,9766.16015625,183.563,66
1780189139.275116,79,60,9766.16015625,188.157,69
1780189141.282458,92,74,9766.16015625,192.658,68
1780189143.296002,90,70,9766.16015625,190.859,68
1780189145.3031132,77,63,9766.16015625,190.042,67
1780189147.3115351,59,36,9766.16015625,185.895,64
1780189149.3117256,44,18,9766.16015625,181.955,65
1780189151.3204842,44,16,9766.16015625,182.469,65
1780189153.329211,87,69,9766.16015625,184.696,69
1780189155.3406374,55,35,9766.16015625,178.129,66
1780189157.351222,42,16,9766.16015625,170.92,65
1780189159.3625662,75,60,9766.16015625,180.101,65
1780189161.3640466,62,44,9766.16015625,179.982,69
1780189163.376417,92,68,9766.16015625,191.43,66
1780189165.3913386,66,47,9766.16015625,186.423,64
1780189167.397552,94,75,9766.16015625,179.151,69
1780189169.4048805,25,3,9766.16015625,179.247,65
1780189171.4118798,26,3,9766.16015625,178.524,65
1780189173.4168925,49,33,9766.16015625,173.697,63
1780189175.4276938,94,76,9766.16015625,190.936,68
1780189177.4429226,86,71,9766.16015625,187.115,68
1780189179.45255,56,32,9766.16015625,179.197,66
1780189181.4598699,92,73,9766.16015625,190.427,70
1780189183.4748564,33,11,9766.16015625,179.932,64
1780189185.488888,40,19,9766.16015625,171.449,64
1780189187.4976072,35,16,9766.16015625,173.348,64
1780189189.5129259,42,28,9766.16015625,173.318,64
1780189191.513727,92,72,9766.16015625,189.966,67
1780189193.5200117,74,55,9766.16015625,188.889,65
1780189195.5313067,48,22,9766.16015625,179.606,65
1780189197.5433643,95,78,9766.16015625,185.283,67
1780189199.547481,81,64,9766.16015625,179.441,69
1780189201.5590482,88,71,9766.16015625,180.194,69
1780189203.5660598,82,65,9766.16015625,177.842,69
1780189205.5739224,76,55,9766.16015625,178.817,68
1780189207.5831935,90,70,9766.16015625,189.775,66
1780189209.5833845,76,60,9766.16015625,186.754,66
1780189211.5846593,56,38,9766.16015625,180.403,67
1780189213.6047378,61,34,5030.16015625,169.953,67
1780189215.6130228,57,43,5030.16015625,185.927,65
1780189217.6241994,62,46,5030.16015625,186.189,65
1780189219.6274405,65,51,5030.16015625,196.994,65
1780189221.63623,68,52,5030.16015625,194.136,64
1780189223.6509748,79,60,9144.16015625,90.023,67
1780189225.6626713,34,16,9144.16015625,172.727,63
1780189227.6734614,81,65,9144.16015625,179.418,69
1780189229.6888576,94,73,9144.16015625,172.741,68
1780189231.6920156,91,70,9144.16015625,176.846,66
1780189233.7062683,40,20,9144.16015625,180.285,67
1780189235.716277,82,62,9144.16015625,188.007,64
1780189237.731193,91,74,9144.16015625,184.95,68
1780189239.745029,59,41,9144.16015625,185.401,67
1780189241.7542002,90,69,9144.16015625,180.281,69
1780189243.7644324,59,35,9144.16015625,184.489,65
1780189245.774014,52,29,9144.16015625,183.149,68
1780189247.7863035,77,56,9144.16015625,189.155,64
1780189249.7940521,93,75,9144.16015625,192.433,65
1780189251.8014143,91,70,9144.16015625,190.082,67
1780189253.8103788,90,76,9144.16015625,190.036,69
1780189255.820147,74,56,9144.16015625,188.849,68
1780189257.8244717,53,30,9144.16015625,184.851,66
1780189259.8315666,50,25,9144.16015625,182.787,68
1780189261.8449464,56,33,9144.16015625,188.283,68
1780189263.8550477,80,60,9686.16015625,187.474,64
1780189265.863467,92,74,9686.16015625,191.632,65
1780189267.8715456,91,73,9686.16015625,191.68,68
1780189269.8743186,92,76,9686.16015625,191.982,69
1780189271.8855965,82,65,9686.16015625,189.663,69
1780189273.8893924,47,23,9686.16015625,179.107,68
1780189275.9031975,87,71,9686.16015625,181.101,69
1780189277.9161994,53,31,9686.16015625,182.815,67
1780189279.9311354,75,52,9686.16015625,184.371,65
1780189281.9319115,93,77,9686.16015625,185.988,69
1780189283.936291,54,36,9686.16015625,179.629,65
1780189285.9428709,57,37,9686.16015625,179.053,63
1780189287.9562142,34,16,9686.16015625,177.182,68
1780189289.9690702,78,65,9686.16015625,177.353,69
1780189291.981643,65,44,9686.16015625,180.454,65
1780189293.9971092,89,72,9686.16015625,185.212,69
