epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
106,184.337,33.281,7933.7,0.88798,0.81592,0.8643,0.62777,0.0
107,176.49,34.761,8127.9,0.88784,0.81602,0.8644,0.62813,112740.88057647044
108,176.284,34.802,7849.5,0.88759,0.81639,0.8644,0.62829,0.0
109,181.319,33.835,7770.0,0.88796,0.81614,0.86442,0.62864,79712.03259636762
110,184.472,33.257,7992.8,0.88843,0.8163,0.86453,0.62888,0.0
111,177.024,34.656,7790.9,0.88824,0.8161,0.86454,0.62917,30838.185944867513
112,184.257,33.296,8017.6,0.88873,0.81605,0.86459,0.62938,0.0
113,181.042,33.887,7976.9,0.8885,0.81611,0.86458,0.62944,28573.84429531761
114,183.318,33.466,7924.3,0.88869,0.81612,0.86469,0.6296,0.0
115,191.306,32.069,7811.7,0.88896,0.81585,0.8646,0.62967,48582.68178718179
116,178.645,34.342,7975.7,0.88997,0.81498,0.86455,0.62999,0.0
117,198.931,30.84,7949.5,0.89016,0.81473,0.86439,0.63023,125312.18889354718
118,175.452,34.967,7993.0,0.88998,0.81542,0.86443,0.6304,0.0
119,184.204,33.305,8114.8,0.89001,0.81541,0.86446,0.63051,50026.82198396543
120,185.216,33.124,8028.9,0.88976,0.81599,0.86456,0.6307,0.0
121,178.517,34.367,7886.5,0.88952,0.81641,0.86468,0.6309,28168.96270383385
122,172.893,35.484,8226.5,0.88938,0.81634,0.86477,0.63123,0.0
123,200.214,30.642,7985.1,0.88966,0.81641,0.86474,0.63137,64642.888116659655
124,173.736,35.312,7895.3,0.88991,0.81655,0.86483,0.63149,0.0
125,179.492,34.18,7769.5,0.88991,0.81678,0.86482,0.6317,58819.381058410094
126,188.829,32.49,8007.7,0.88967,0.81698,0.86487,0.63187,0.0
127,190.481,32.208,8373.8,0.89022,0.81686,0.86495,0.63203,35315.6284977558
128,192.08,31.94,7726.5,0.8908,0.81687,0.86506,0.63225,0.0
129,179.642,34.151,8033.8,0.89076,0.81709,0.86517,0.6326,113116.63863516216
130,188.752,32.503,8183.2,0.8912,0.81709,0.86538,0.63271,0.0
131,184.532,33.246,8118.1,0.89136,0.81687,0.86548,0.63292,26279.304487220816
132,174.839,35.089,7775.5,0.89076,0.81744,0.86557,0.63297,0.0
133,179.854,34.111,7827.8,0.89093,0.81754,0.86563,0.63313,88494.58045761957
134,176.764,34.707,8032.8,0.89069,0.81783,0.8657,0.63341,0.0
135,180.298,34.027,7903.0,0.88994,0.81846,0.86581,0.63353,56411.679776824414
136,173.698,35.32,7838.0,0.89038,0.81823,0.86584,0.63369,0.0
137,190.351,32.23,7936.4,0.89027,0.81811,0.86578,0.63368,48501.39359620708
138,177.242,34.614,7799.9,0.89014,0.81868,0.86584,0.63393,0.0
139,191.583,32.023,7762.0,0.88981,0.81942,0.86594,0.63423,30703.05344563534
140,175.82,34.894,7726.7,0.89048,0.81925,0.86606,0.63433,0.0
141,184.419,33.267,7768.7,0.89014,0.81946,0.86604,0.63439,37981.58214184098
142,185.588,33.057,8028.1,0.89033,0.81954,0.86605,0.63456,0.0
143,186.316,32.928,7925.2,0.89015,0.81989,0.86611,0.63472,12610.2503285921
144,174.943,35.069,7884.1,0.88982,0.81988,0.86607,0.63486,0.0
145,174.584,35.141,7810.9,0.88998,0.81996,0.86589,0.63484,32114.29278401308
146,175.857,34.886,7631.4,0.88941,0.82078,0.86604,0.63501,0.0
147,183.455,33.441,7920.4,0.88964,0.82027,0.86597,0.63498,25816.82689179604
148,172.882,35.487,8091.0,0.88898,0.82145,0.86606,0.63509,0.0
149,183.272,33.475,8216.6,0.88938,0.82109,0.866,0.63527,22862.509691450938
150,177.187,34.624,8063.2,0.88936,0.82123,0.86588,0.63533,0.0
151,175.604,34.936,7894.8,0.88872,0.82179,0.86577,0.63545,34437.641262651974
152,179.074,34.26,8013.1,0.88805,0.82238,0.86571,0.63564,0.0
153,181.486,33.804,7724.7,0.88839,0.82201,0.86566,0.63571,25173.718087183563
154,185.739,33.03,7705.1,0.88867,0.82147,0.86569,0.63572,0.0
155,195.398,31.398,7269.5,0.88826,0.82166,0.86552,0.63588,22143.615788693638
156,175.33,34.991,8225.6,0.88851,0.82162,0.86543,0.63589,0.0
157,178.354,34.398,8098.1,0.88831,0.82201,0.86552,0.63587,37863.25708250071
158,201.845,30.395,8197.8,0.88905,0.82161,0.86548,0.63593,0.0
159,174.919,35.073,8027.3,0.88941,0.82098,0.8654,0.63603,59080.004671089955
160,181.63,33.778,8065.4,0.88964,0.82051,0.86533,0.63613,0.0
161,175.95,34.868,7793.9,0.88949,0.82068,0.86528,0.6363,27813.962370174828
162,187.408,32.736,7966.4,0.88962,0.82069,0.86536,0.63632,0.0
163,186.158,32.956,8151.7,0.88987,0.82058,0.86542,0.63647,40506.75765399884
164,176.969,34.667,7639.9,0.8902,0.81995,0.86532,0.6365,0.0
165,183.849,33.37,7819.1,0.89031,0.82,0.8653,0.63658,41753.819479372214
166,185.211,33.124,7832.4,0.89018,0.82013,0.86527,0.6365,0.0
167,195.299,31.413,7828.0,0.88955,0.82071,0.86537,0.63654,26224.317701069704
168,183.237,33.481,7668.9,0.89013,0.82049,0.86535,0.63666,0.0
169,190.213,32.253,7774.2,0.89002,0.82065,0.86544,0.63674,32038.647556796506
170,179.757,34.129,8117.2,0.8899,0.82083,0.86532,0.63663,0.0
171,185.107,33.143,7975.3,0.8907,0.82017,0.86521,0.63665,13152.88731398255
172,188.843,32.487,7843.5,0.89008,0.82076,0.86511,0.63663,0.0
173,173.334,35.394,7968.1,0.89078,0.82006,0.86511,0.63672,24109.297813279518
174,185.853,33.01,7814.4,0.89122,0.81979,0.8651,0.63666,0.0
175,180.452,33.998,8032.6,0.89151,0.81917,0.86498,0.63669,22181.60366564014
176,183.677,33.401,7838.8,0.89114,0.81967,0.86503,0.63656,0.0
177,181.419,33.817,8002.9,0.89106,0.81971,0.865,0.63664,26894.72543858537
178,188.736,32.506,7692.4,0.89013,0.82074,0.86496,0.63658,0.0
179,192.38,31.89,7716.7,0.8907,0.82048,0.86494,0.63669,29339.55646701314
180,182.474,33.621,8133.8,0.8905,0.82067,0.86491,0.63665,0.0
181,175.01,35.055,7974.6,0.89087,0.82069,0.86498,0.63678,46214.046346921
182,179.417,34.194,8174.7,0.89057,0.82088,0.86496,0.63674,0.0
183,180.282,34.03,7968.1,0.89066,0.82072,0.86481,0.63675,40300.0310330744
184,182.765,33.568,7585.7,0.89022,0.82088,0.86481,0.63681,0.0
185,176.737,34.713,7790.9,0.89006,0.82092,0.86474,0.63674,33378.27394383299
186,183.893,33.362,7851.1,0.89017,0.82078,0.86477,0.6368,0.0
187,182.722,33.576,8019.4,0.89067,0.82026,0.86468,0.63676,49221.24040397806
188,183.269,33.475,7971.2,0.89068,0.82012,0.86461,0.6369,0.0
189,188.129,32.611,8107.6,0.89044,0.82031,0.86475,0.63695,30196.70269235665
190,182.482,33.62,7785.5,0.89106,0.81964,0.86461,0.63686,0.0
191,172.086,35.651,7951.4,0.89052,0.82,0.86456,0.63703,33933.15027471139
192,176.447,34.77,7747.0,0.8908,0.81982,0.86458,0.63714,0.0
193,173.91,35.277,8027.6,0.89069,0.81979,0.86457,0.63719,18010.871377752686
194,178.586,34.353,8006.0,0.89049,0.82034,0.86456,0.63728,0.0
195,180.172,34.051,8018.2,0.89047,0.82017,0.8645,0.63747,26519.4749103871
196,183.676,33.401,7784.3,0.89018,0.82021,0.86441,0.63751,0.0
197,185.915,32.999,7877.2,0.89015,0.8201,0.86435,0.63762,31717.095308722837
198,182.713,33.577,7903.6,0.89042,0.82023,0.86428,0.63777,0.0
199,184.284,33.291,7929.0,0.89055,0.82027,0.86434,0.6378,17123.32241448816
200,181.303,33.838,7615.3,0.89048,0.82028,0.86422,0.63786,0.0
201,180.245,34.037,7992.7,0.89059,0.82019,0.86405,0.63793,46330.77400332733
202,174.552,35.147,8051.4,0.89055,0.82058,0.86409,0.63796,0.0
203,167.812,36.559,8106.4,0.89092,0.81988,0.86387,0.63798,56612.94716353051
204,132.618,46.261,7808.4,0.89106,0.81967,0.86383,0.63798,0.0
