conf,precision,recall,F1,F2,TP,FP,FN
0.7,0.9302890321167083,0.7025495360092661,0.8005373472017095,0.7387179182337232,50951,3818,21572
0.71,0.93390040094428,0.6873129903616784,0.7918536581491218,0.7256322314290207,49846,3528,22677
0.72,0.9369326050161564,0.6716903602994911,0.7824438822631812,0.7120034845242689,48713,3279,23810
0.73,0.9407397140933751,0.6551438853880838,0.7723869981874192,0.6974938196935978,47513,2993,25010
0.74,0.9449475495820358,0.6359499744908512,0.7602508839455704,0.6804514606078489,46121,2687,26402
0.75,0.9483633891968818,0.6156391765370985,0.7466095884684202,0.662097274083477,44648,2431,27875
0.76,0.9521466409557373,0.5923362243701998,0.7303298197891874,0.6407644186164452,42958,2159,29565
0.77,0.9562033614617477,0.5671717937757677,0.7120131556171022,0.6174105172781281,41133,1884,31390
0.78,0.9604428441962427,0.5406836451884229,0.6918747243052492,0.5924712694042952,39212,1615,33311
0.79,0.9644841372864634,0.5122512857989879,0.6691222161183707,0.5652597303794772,37150,1368,35373
0.8,0.9685712699205953,0.48103360313279925,0.6428170000276393,0.5348808684186318,34886,1132,37637
0.81,0.9723823246878002,0.4466445127752575,0.6121226437378938,0.5007977637877082,32392,920,40131
0.82,0.9774552395997894,0.4095114653282407,0.5772007735139495,0.4633576305245946,29699,685,42824
0.83,0.9817830728312749,0.37156488286474637,0.5391017305191557,0.4243100847454959,26947,500,45576
0.84,0.9857364721268596,0.3325703569901962,0.49734511449515934,0.38337678026449645,24119,349,48404
0.85,0.9900619395396135,0.29534078843952954,0.45496351837887783,0.3435549168179748,21419,215,51104
0.86,0.9934902086334774,0.2567323469795789,0.40802507012622724,0.3014412319926951,18619,122,53904
0.87,0.9957648231190832,0.22045420073631813,0.3609884961446844,0.2611155388896873,15988,68,56535
0.88,0.9974861367837339,0.18602374419149786,0.3135691706954258,0.22217135404144037,13491,34,59032
0.89,0.9987368041144095,0.15262744232864056,0.2647896084013109,0.18376359259566694,11069,14,61454
0.9,0.9994179278230501,0.11837623926202721,0.2116800019725568,0.1437147200032141,8585,5,63938
0.91,0.9996622192197264,0.08161548750051707,0.1509102034572434,0.09997871715093593,5919,2,66604
0.92,0.9996734160679295,0.04220729975318175,0.08099490639677184,0.052208054469664415,3061,1,69462
0.93,1.0,0.010286391903258276,0.020363318729612796,0.012825009111601648,746,0,71777
0.94,1.0,0.00035850695641382734,0.0007167569504748515,0.0004480935343549865,26,0,72497
0.95,0.0,0.0,0.0,0.0,0,0,72523
