ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1783477183.99836,82,66,13180.16015625,187.857,68
1783477186.0202224,57,46,13180.16015625,174.509,69
1783477188.034751,78,62,13180.16015625,184.373,66
1783477190.053768,46,35,13180.16015625,184.796,68
1783477192.0573123,78,60,13180.16015625,186.317,70
1783477194.0593872,78,63,13180.16015625,185.403,69
1783477196.0606802,48,34,13180.16015625,188.682,69
1783477198.08979,55,47,13180.16015625,181.855,69
1783477200.1064432,59,46,13180.16015625,177.44,68
1783477202.1217265,41,30,13180.16015625,183.711,69
1783477204.136301,57,44,13180.16015625,190.077,69
1783477206.1517591,84,69,13180.16015625,186.531,69
1783477208.1692946,81,64,13180.16015625,188.193,66
1783477210.1852639,49,37,13180.16015625,187.698,68
1783477212.201749,56,44,13180.16015625,174.173,69
1783477214.2197545,84,68,13180.16015625,169.523,69
1783477216.2225,79,67,13180.16015625,182.203,71
1783477218.2269187,78,61,13180.16015625,190.924,66
1783477220.242619,48,37,13180.16015625,188.56,67
1783477222.2460186,90,71,13180.16015625,190.252,69
1783477224.2480388,78,68,13180.16015625,180.391,70
1783477226.2621803,36,29,13180.16015625,158.412,68
1783477228.2629015,47,34,3076.16015625,121.02,65
1783477230.2783318,62,48,4534.16015625,150.79,69
1783477232.2926445,75,64,4958.16015625,167.079,65
1783477234.3070896,25,18,6404.16015625,166.935,70
1783477236.3232896,85,76,7128.16015625,175.036,65
1783477238.3571851,60,51,7128.16015625,168.146,65
1783477240.4371703,42,36,7128.16015625,160.667,70
1783477242.438194,79,69,7128.16015625,178.8,66
1783477244.4383512,49,43,7128.16015625,181.585,71
1783477246.455079,49,42,7128.16015625,177.768,71
1783477248.4606147,2,0,10976.16015625,63.406,61
1783477250.4663334,80,68,8288.16015625,173.818,68
1783477252.4703,65,56,8762.16015625,176.119,67
1783477254.4870143,45,40,8762.16015625,172.06,68
1783477256.4877236,81,68,8762.16015625,181.369,69
1783477258.4899697,42,29,8762.16015625,188.595,69
1783477260.5049028,80,65,8762.16015625,186.531,69
1783477262.5217555,80,65,8762.16015625,191.652,70
1783477264.539308,78,61,9266.16015625,187.043,65
1783477266.6090155,16,11,9266.16015625,152.04,67
1783477268.6224496,85,68,9266.16015625,174.756,68
1783477270.6363606,76,61,9780.16015625,184.169,70
1783477272.6378279,50,37,9780.16015625,185.381,69
1783477274.6472003,79,65,9780.16015625,183.259,69
1783477276.6541698,82,67,10354.16015625,187.528,69
1783477278.6619232,66,54,10354.16015625,175.034,68
1783477280.6747055,52,42,10354.16015625,150.87,68
1783477282.7267985,81,65,10354.16015625,184.64,65
1783477284.739041,68,59,11094.16015625,183.049,69
1783477286.7467794,83,67,11094.16015625,191.289,66
1783477288.7600908,79,62,11094.16015625,187.579,65
1783477290.7668397,68,57,11094.16015625,190.288,70
1783477292.78896,33,25,12070.16015625,166.792,67
1783477294.7982025,58,45,12070.16015625,168.541,68
1783477296.8068066,43,32,12070.16015625,180.925,67
1783477298.817482,76,63,12070.16015625,188.812,69
1783477300.8302233,79,68,12070.16015625,182.818,69
1783477302.8381386,48,36,12070.16015625,189.878,66
1783477304.8438225,64,55,12070.16015625,174.579,68
1783477306.849013,3,2,12070.16015625,151.341,64
1783477308.9581122,93,78,12070.16015625,167.99,69
1783477310.982773,98,78,13080.16015625,179.409,70
1783477312.9846194,82,65,13080.16015625,191.267,69
1783477314.9995105,45,35,13080.16015625,187.194,66
1783477317.008953,83,67,13080.16015625,191.148,68
1783477319.0110412,96,78,13080.16015625,179.496,69
1783477321.0413742,90,75,13080.16015625,162.958,69
1783477323.136449,74,60,13080.16015625,170.471,69
1783477325.1517143,86,71,13080.16015625,183.833,69
1783477327.1534016,79,70,13080.16015625,183.889,70
1783477329.1556919,70,53,13080.16015625,189.619,70
1783477331.1612759,61,50,13080.16015625,190.021,69
1783477333.176209,84,69,13080.16015625,183.744,69
1783477335.2214832,37,29,13080.16015625,151.467,64
1783477337.2282343,58,51,13080.16015625,164.141,66
1783477339.2357218,96,78,13080.16015625,184.681,69
1783477341.2371292,75,64,13080.16015625,181.227,70
