ts,cpu_pct,ram_used_GB,ram_pct
1783465274.5057435,45.2,59.95973587036133,46.9
1783465276.5209835,32.0,59.8619384765625,46.9
1783465278.5235488,28.4,59.50986099243164,46.6
1783465280.5301197,50.7,59.77238845825195,46.8
1783465282.5445085,35.0,60.14476776123047,47.1
1783465284.5587018,41.4,60.1673583984375,47.1
1783465286.5659108,34.9,59.93021774291992,46.9
1783465288.5754833,41.9,59.717308044433594,46.7
1783465290.588561,20.7,59.622703552246094,46.7
1783465292.6010232,38.3,59.61838150024414,46.7
1783465294.607574,45.5,60.22560501098633,47.1
1783465296.6165884,43.7,60.03761672973633,47.0
1783465298.6263313,28.5,60.08268737792969,47.0
1783465300.635352,43.9,60.052642822265625,47.0
1783465302.6456132,32.6,59.931514739990234,46.9
1783465304.6934106,25.3,59.56288146972656,46.6
1783465306.7100863,39.9,60.047462463378906,47.0
1783465308.8344681,42.1,60.309844970703125,47.2
1783465310.8423522,44.8,60.648414611816406,47.5
1783465312.8512745,29.4,60.38255310058594,47.3
1783465314.8711722,43.8,60.0401611328125,47.0
1783465316.9076254,24.4,60.01718521118164,47.0
1783465318.91994,32.4,59.55220413208008,46.6
1783465321.0075374,43.4,59.907405853271484,46.9
1783465323.0178468,42.8,60.28032302856445,47.2
1783465325.0181124,41.3,60.2642936706543,47.2
1783465327.0275707,33.1,60.116249084472656,47.1
1783465329.038949,45.9,59.7933349609375,46.8
1783465331.046411,18.5,59.736385345458984,46.8
1783465333.075697,39.8,59.69091033935547,46.7
1783465335.0851307,40.9,59.97011184692383,46.9
1783465337.092831,43.4,60.268890380859375,47.2
1783465339.098967,29.3,60.313133239746094,47.2
1783465341.1067986,45.9,60.07181167602539,47.0
1783465343.116625,36.8,59.836299896240234,46.8
1783465345.131901,15.8,59.73272705078125,46.8
1783465347.1562865,56.6,59.721248626708984,46.7
1783465349.3369007,34.8,59.699710845947266,46.7
1783465351.5332758,41.1,59.72958755493164,46.7
1783465353.5462554,41.6,59.71182632446289,46.7
1783465355.5584593,39.9,60.39409637451172,47.3
1783465357.5714111,41.8,59.8316650390625,46.8
1783465359.5831566,42.6,59.797523498535156,46.8
1783465361.593507,46.9,59.60545349121094,46.7
1783465363.606184,26.6,59.55861282348633,46.6
1783465365.6372137,47.1,59.68821716308594,46.7
1783465367.6631408,39.7,60.391544342041016,47.3
1783465369.6726406,46.1,60.120384216308594,47.1
1783465371.681561,33.0,59.90342330932617,46.9
1783465373.6898036,41.8,59.73571014404297,46.8
1783465375.694367,35.2,59.7779655456543,46.8
1783465377.7238138,26.5,59.69217300415039,46.7
1783465379.7297847,47.2,59.83789825439453,46.8
1783465381.7353203,38.6,60.511837005615234,47.4
1783465383.7482305,43.1,60.38533020019531,47.3
1783465385.7580166,36.9,59.97152328491211,46.9
1783465387.7689383,39.2,59.803245544433594,46.8
1783465389.7812123,22.3,59.74599838256836,46.8
1783465391.8047233,49.1,59.75618362426758,46.8
1783465393.815237,31.2,59.71515655517578,46.7
1783465395.833628,39.9,59.74482727050781,46.8
1783465397.84979,43.7,60.02695846557617,47.0
1783465399.857817,34.5,60.011314392089844,47.0
1783465401.8672452,56.8,59.68955612182617,46.7
1783465403.880064,27.4,59.69942092895508,46.7
1783465405.8952527,21.6,59.6236686706543,46.7
1783465407.903332,43.3,59.833553314208984,46.8
1783465409.950486,48.7,60.04365158081055,47.0
1783465411.9665077,38.8,60.35073471069336,47.2
1783465413.9927785,31.2,60.34794235229492,47.2
1783465416.00373,59.6,60.019775390625,47.0
1783465418.0134115,27.2,59.91289520263672,46.9
1783465420.08344,24.3,59.767520904541016,46.8
1783465422.2421582,50.3,59.749244689941406,46.8
1783465424.45264,39.0,59.723697662353516,46.7
1783465426.6989357,37.8,59.64094161987305,46.7
1783465428.847492,40.5,59.93400192260742,46.9
1783465430.8475041,47.2,60.533203125,47.4
1783465432.872743,31.2,60.17455291748047,47.1
1783465434.8829584,48.0,59.77605056762695,46.8
1783465436.8923745,31.5,59.80587387084961,46.8
1783465438.9010355,15.8,59.718082427978516,46.7
1783465440.917309,42.6,59.52727127075195,46.6
1783465443.144188,39.7,60.17603302001953,47.1
1783465445.152892,47.3,60.55160903930664,47.4
1783465447.1615212,34.1,60.34653854370117,47.2
1783465449.1622086,39.3,60.03971481323242,47.0
1783465451.1724153,49.4,59.97063064575195,46.9
1783465453.190436,14.5,59.863895416259766,46.9
1783465455.340687,44.2,59.45085906982422,46.5
1783465457.3644097,48.3,59.90614700317383,46.9
1783465459.3682024,38.6,60.007381439208984,47.0
1783465461.3751786,33.1,59.93413162231445,46.9
1783465463.3823302,40.1,59.86374282836914,46.9
1783465465.392818,44.1,59.822349548339844,46.8
1783465467.4049706,28.6,59.50162887573242,46.6
1783465469.4078963,35.4,59.4906120300293,46.6
1783465471.4231732,47.0,60.653350830078125,47.5
1783465473.4359772,36.8,60.277259826660156,47.2
1783465475.444461,37.5,60.318580627441406,47.2
1783465477.4720237,52.4,59.7930908203125,46.8
1783465479.482431,24.7,59.816993713378906,46.8
1783465481.496637,31.3,59.70565414428711,46.7
1783465483.5142417,35.4,59.64809799194336,46.7
1783465485.52999,48.9,59.95479202270508,46.9
1783465487.541017,60.4,60.11745071411133,47.1
1783465489.5505679,19.1,59.968544006347656,46.9
1783465491.5616236,51.2,59.783206939697266,46.8
1783465493.572014,22.6,59.77069091796875,46.8
1783465495.591585,41.6,59.75225067138672,46.8
1783465497.7264879,60.2,59.97502899169922,46.9
1783465499.8943613,30.7,59.925655364990234,46.9
1783465502.0370529,43.2,59.923606872558594,46.9
1783465504.0513222,45.8,60.148250579833984,47.1
1783465506.0594785,44.3,60.41657638549805,47.3
1783465508.0682204,38.8,60.45117950439453,47.3
1783465510.0753875,30.6,60.13978576660156,47.1
1783465512.0848825,51.4,59.84066390991211,46.8
1783465514.0934834,21.9,59.796939849853516,46.8
1783465516.102916,38.6,59.76074981689453,46.8
1783465518.1147332,35.8,60.25980758666992,47.2
1783465520.1253002,49.4,60.52444839477539,47.4
1783465522.1314518,38.1,60.120391845703125,47.1
1783465524.1417282,35.5,59.84903335571289,46.8
1783465526.1507173,49.5,59.88935852050781,46.9
1783465528.1567197,12.1,59.75613784790039,46.8
1783465530.1892185,52.5,59.66167068481445,46.7
1783465532.197924,45.0,60.41741943359375,47.3
1783465534.2065995,34.8,60.877872467041016,47.6
1783465536.2147124,35.3,60.53372573852539,47.4
1783465538.2282658,38.9,60.00938415527344,47.0
1783465540.240428,45.3,59.95677947998047,46.9
1783465542.241396,28.6,59.5087776184082,46.6
1783465544.252964,30.4,59.62986373901367,46.7
1783465546.277017,45.6,60.03422164916992,47.0
1783465548.3144982,41.8,60.135902404785156,47.1
1783465550.3363857,37.8,60.193904876708984,47.1
1783465552.3513644,50.8,59.824378967285156,46.8
1783465554.3633401,25.7,59.853824615478516,46.8
1783465556.3759544,30.2,59.52559280395508,46.6
1783465558.391937,37.8,59.99842834472656,47.0
1783465560.4130664,42.6,60.67339324951172,47.5
1783465562.4246924,44.2,60.44955062866211,47.3
1783465564.4312036,32.9,60.17803192138672,47.1
1783465566.44118,44.8,59.8700065612793,46.9
1783465568.4496808,23.1,59.83562088012695,46.8
1783465570.4616752,35.5,59.803035736083984,46.8
1783465572.4884264,45.0,59.868927001953125,46.9
1783465574.5905554,38.3,60.546939849853516,47.4
1783465576.6009429,42.8,60.30439758300781,47.2
1783465578.6137426,40.8,59.74068069458008,46.8
1783465580.6393945,38.7,59.684452056884766,46.7
1783465582.6473753,22.5,59.3286018371582,46.4
1783465584.6601105,47.0,59.69773483276367,46.7
1783465586.6740375,39.8,60.28261184692383,47.2
1783465588.687388,44.4,60.200218200683594,47.1
1783465590.6941867,28.8,59.97965621948242,46.9
1783465592.704093,51.5,59.759796142578125,46.8
1783465594.7124853,30.4,59.77347946166992,46.8
1783465596.724858,38.1,59.700565338134766,46.7
1783465598.7486413,33.1,60.28034210205078,47.2
1783465600.8317,42.9,59.97373580932617,46.9
1783465602.8428037,38.8,59.98638916015625,46.9
1783465604.8530025,33.0,60.00008010864258,47.0
1783465606.8533585,51.7,59.812129974365234,46.8
1783465608.86377,18.3,59.73416519165039,46.8
1783465610.9105155,45.7,59.766109466552734,46.8
1783465612.9219031,49.9,59.82151412963867,46.8
1783465614.9311824,32.5,60.393829345703125,47.3
1783465616.9385364,36.8,60.20490264892578,47.1
1783465618.952249,37.2,59.97877502441406,46.9
1783465620.9641826,40.7,59.89686965942383,46.9
1783465622.966621,16.5,59.8048095703125,46.8
1783465624.9785914,48.0,59.74071502685547,46.8
1783465626.9941957,39.3,60.09596252441406,47.0
1783465629.04614,43.6,60.53764724731445,47.4
1783465631.0502734,28.2,60.58377456665039,47.4
1783465633.0609367,45.6,59.90302658081055,46.9
1783465635.0710735,35.1,59.98109436035156,46.9
1783465637.080841,25.8,59.86383056640625,46.9
1783465639.0899422,42.7,59.81181335449219,46.8
1783465641.101023,42.9,60.415672302246094,47.3
1783465643.1120174,40.6,60.43598175048828,47.3
1783465645.1224284,35.1,60.10518264770508,47.0
1783465647.1376035,53.9,59.87187194824219,46.9
1783465649.1458907,16.8,59.78704071044922,46.8
1783465651.1573312,46.8,59.81278991699219,46.8
1783465653.2175708,34.6,60.02214050292969,47.0
1783465655.2591493,47.4,60.958106994628906,47.7
1783465657.2725515,35.3,60.49124526977539,47.3
1783465659.2832406,40.6,60.1095085144043,47.0
1783465661.2978296,52.6,59.712074279785156,46.7
1783465663.336903,17.8,59.6523323059082,46.7
1783465665.6568244,42.8,59.625911712646484,46.7
1783465667.9764214,47.2,59.62533950805664,46.7
1783465670.2775078,40.3,59.6375732421875,46.7
1783465672.3740375,46.9,60.46690368652344,47.3
1783465674.3892734,39.1,60.867496490478516,47.6
1783465676.3971443,35.0,60.281593322753906,47.2
1783465678.4039738,39.3,59.99024200439453,47.0
1783465680.4160604,33.7,60.05525207519531,47.0
1783465682.4252641,16.6,59.996368408203125,47.0
1783465684.4607732,46.8,60.07358169555664,47.0
1783465686.51774,40.0,60.19790267944336,47.1
1783465688.5188122,43.8,60.396018981933594,47.3
1783465690.529462,39.9,60.25758743286133,47.2
1783465692.544282,52.7,59.84029006958008,46.8
1783465694.5556421,28.5,59.8376350402832,46.8
1783465696.5725038,36.0,59.65544509887695,46.7
1783465698.5778315,35.5,60.162994384765625,47.1
1783465700.5990212,44.1,60.875389099121094,47.6
1783465702.6017256,42.5,60.28590774536133,47.2
1783465704.6168077,32.6,60.29763412475586,47.2
1783465706.6397903,49.3,60.02772521972656,47.0
1783465708.6537912,15.1,59.960731506347656,46.9
1783465710.6632988,44.5,59.59762954711914,46.6
1783465712.7170153,48.8,59.86540603637695,46.9
1783465714.7241664,35.7,60.00796890258789,47.0
1783465716.7336307,38.6,60.08497619628906,47.0
1783465718.746923,34.9,59.96894454956055,46.9
1783465720.755878,45.2,60.09423828125,47.0
1783465722.765425,19.5,59.99076461791992,47.0
1783465724.8127136,35.3,59.511573791503906,46.6
1783465726.8266149,42.9,59.85352325439453,46.8
1783465728.8391159,42.1,60.044464111328125,47.0
1783465730.8516653,33.9,60.13651657104492,47.1
