channel_idx,mean_attention
395,0.9999905
396,0.999999
397,0.61435586
398,0.6294686
399,0.61942464
400,0.99999905
401,0.011815234
402,0.042066064
403,0.8461663
404,0.9999983
405,0.07812191
406,0.014934649
407,0.28139973
408,0.9905763
409,0.0009788625
410,0.069061875
411,0.6067711
412,0.9894951
413,1.0232444e-05
414,0.8236893
415,0.99982125
416,0.39038703
417,0.0007113623
418,0.002481053
419,0.006313237
420,0.99893206
421,0.07626756
422,0.99974793
423,0.9968539
424,6.145335e-05
425,0.013200217
426,0.0036328484
427,0.43599212
428,0.8552964
429,0.06384245
430,0.0016722195
431,0.99700165
432,0.99999136
433,0.22867219
434,0.9594352
435,0.000117476295
436,0.9887267
437,0.37645587
438,0.99651146
439,0.029955795
440,0.99969864
441,0.99041444
442,0.017063497
443,0.008701241
444,0.999919
445,0.9901722
446,0.99999833
447,0.9999972
448,0.99894524
449,0.09861788
450,0.9793226
451,0.0015961867
452,0.000734146
453,0.99999756
454,0.008789265
455,2.8905684e-05
456,0.9999974
457,0.9913831
458,0.027650082
459,0.0017934177
460,0.0032656388
461,0.08872508
462,0.34545466
463,0.9999628
464,0.99999714
465,0.4131738
466,0.049337193
467,0.9999991
468,0.024747632
469,0.32783628
470,0.02189506
471,0.9999726
472,0.99999577
473,0.010035224
474,0.02480339
475,0.0044064117
476,0.99981374
477,0.5972106
478,0.19943734
479,0.21730395
480,0.9999942
481,0.00022591262
482,0.99980307
483,0.36730298
484,0.0038581528
485,0.9999992
486,0.63895744
487,0.17415439
488,1.0
489,0.9999943
490,0.9998582
491,0.00051908655
492,0.99817413
493,0.99323064
494,0.9803185
495,0.4184254
496,0.00011656645
497,0.0015725512
498,0.025233828
499,0.9999812
500,0.0007851533
501,0.0064828065
502,0.9999959
503,0.9972859
504,1.0
505,0.0033127966
506,0.014697492
507,0.9953732
508,0.010398754
509,0.000109295914
510,0.99998206
511,0.85892224
